time,bps
0,9810000000.0
1,10100000000.0
2,10400000000.0
3,10400000000.0
4,9960000000.0
5,9990000000.0
6,9980000000.0
7,10300000000.0
8,10200000000.0
9,10200000000.0
10,9850000000.0
11,9840000000.0
12,9900000000.0
13,9890000000.0
14,9670000000.0
15,9900000000.0
16,9920000000.0
17,10200000000.0
18,9940000000.0
19,10200000000.0
20,10100000000.0
21,10400000000.0
22,10300000000.0
23,10300000000.0
24,10100000000.0
25,9880000000.0
26,10300000000.0
27,10000000000.0
28,10100000000.0
29,534000000.0
30,242000000.0
31,227000000.0
32,226000000.0
33,240000000.0
34,241000000.0
35,234000000.0
36,218000000.0
37,241000000.0
38,242000000.0
39,237000000.0
40,225000000.0
41,233000000.0
42,243000000.0
43,235000000.0
44,227000000.0
45,241000000.0
46,244000000.0
47,229000000.0
48,231000000.0
49,244000000.0
50,236000000.0
51,234000000.0
52,229000000.0
53,244000000.0
54,238000000.0
55,235000000.0
56,230000000.0
57,238000000.0
58,234000000.0
59,233000000.0
59,248000000.0
