time,bytes
0,1224065679.36
1,1256277934.08
2,1299227607.04
3,1299227607.04
4,1245540515.84
5,1245540515.84
6,1245540515.84
7,1288490188.8
8,1267015352.32
9,1277752770.56
10,1234803097.6
11,1234803097.6
12,1234803097.6
13,1234803097.6
14,1213328261.12
15,1234803097.6
16,1245540515.84
17,1277752770.56
18,1245540515.84
19,1277752770.56
20,1256277934.08
21,1309965025.28
22,1288490188.8
23,1277752770.56
24,1267015352.32
25,1234803097.6
26,1288490188.8
27,1245540515.84
28,1256277934.08
29,66794291.2
30,30198988.8
31,28416409.6
32,28311552.0
33,29989273.6
34,30094131.2
35,29255270.4
36,27262976.0
37,30094131.2
38,30198988.8
39,29569843.2
40,28101836.8
41,29045555.2
42,30408704.0
43,29360128.0
44,28311552.0
45,30094131.2
46,30408704.0
47,28626124.8
48,28835840.0
49,30513561.6
50,29569843.2
51,29255270.4
52,28626124.8
53,30513561.6
54,29779558.4
55,29464985.6
56,28730982.4
57,29779558.4
58,29255270.4
59,29150412.8
59,3145728.0
