time,bytes
5,993602
6,1261922060
7,2513441720
8,3767192800
9,5058425240
10,6334636528
11,7617608422
12,8857863104
13,10093212704
14,11339385528
15,12578225100
16,13793528784
17,15036996526
18,16284676374
19,17564879190
20,18810062326
21,20099493340
22,21364145994
23,22669942138
24,23958340982
25,25254293630
26,26514401010
27,27754865794
28,29046974916
29,30300982338
30,31507355018
31,31537507242
32,31567714930
33,31594871466
34,31624393662
35,31654316430
36,31684495692
37,31714501612
38,31742947606
39,31771366742
40,31801798264
41,31831647494
42,31861634412
43,31890495844
44,31919167240
45,31948929082
46,31979584616
47,32009898416
48,32038245426
49,32067480162
50,32097813614
51,32128520810
52,32157911024
53,32187039290
54,32215912944
55,32246092172
56,32276644656
57,32305464456
58,32335317094
59,32364183788
60,32394362390
61,32420606543
62,32420607050
63,32420607190
64,32420607288
