time,bytes
5,132
6,296344
7,623878
8,954802
9,1170886
10,1377828
11,1692416
12,2028454
13,2361720
14,2695122
15,3021788
16,3335716
17,3659412
18,3982976
19,4144774
20,4450716
21,4713758
22,4977634
23,5236122
24,5499164
25,5806294
26,6134544
27,6378644
28,6603934
29,6830478
30,7006730
31,7020404
32,7036412
33,7049776
34,7065120
35,7082246
36,7097788
37,7113726
38,7129664
39,7145932
40,7162728
41,7179260
42,7194810
43,7209362
44,7224904
45,7241040
46,7257836
47,7274302
48,7289382
49,7305980
50,7322446
51,7339572
52,7355576
53,7371160
54,7388022
55,7404884
56,7421614
57,7437882
58,7454150
59,7469692
60,7486092
61,7502063
62,7502438
63,7502578
64,7502676
