time,count
5,17
6,22178
7,44328
8,66568
9,88732
10,110580
11,133103
12,155072
13,176884
14,198880
15,220822
16,242412
17,264367
18,286463
19,308131
20,330023
21,352354
22,374285
23,396965
24,419239
25,441919
26,464265
27,485753
28,507962
29,529593
30,550093
31,550597
32,551093
33,551537
34,552015
35,552507
36,553002
37,553498
38,553967
39,554439
40,554936
41,555427
42,555922
43,556402
44,556876
45,557365
46,557868
47,558364
48,558829
49,559309
50,559803
51,560305
52,560784
53,561257
54,561724
55,562210
56,562708
57,563180
58,563671
59,564138
60,564623
61,565056
62,565063
63,565065
64,565066
