time,count
5,2
6,4490
7,9453
8,14467
9,17741
10,20876
11,25642
12,30733
13,35782
14,40833
15,45782
16,50538
17,55442
18,60344
19,62795
20,67430
21,71415
22,75413
23,79329
24,83314
25,87967
26,92940
27,96638
28,100051
29,103483
30,106153
31,106360
32,106602
33,106804
34,107036
35,107295
36,107530
37,107771
38,108012
39,108258
40,108512
41,108762
42,108997
43,109217
44,109452
45,109696
46,109950
47,110199
48,110427
49,110678
50,110927
51,111186
52,111428
53,111664
54,111919
55,112174
56,112427
57,112673
58,112919
59,113154
60,113402
61,113641
62,113646
63,113648
64,113649
