time,bps
1,9830000000.0
2,10100000000.0
3,10400000000.0
4,10400000000.0
5,9960000000.0
6,9970000000.0
7,9980000000.0
8,10300000000.0
9,10200000000.0
10,10200000000.0
11,9860000000.0
12,9850000000.0
13,9900000000.0
14,9890000000.0
15,9650000000.0
16,9910000000.0
17,9930000000.0
18,10200000000.0
19,9950000000.0
20,10200000000.0
21,10100000000.0
22,10400000000.0
23,10300000000.0
24,10300000000.0
25,10100000000.0
26,9890000000.0
27,10300000000.0
28,10000000000.0
29,10100000000.0
30,535000000.0
31,241000000.0
32,231000000.0
33,231000000.0
34,231000000.0
35,241000000.0
36,241000000.0
37,220000000.0
38,241000000.0
39,241000000.0
40,231000000.0
41,230000000.0
42,231000000.0
43,241000000.0
44,231000000.0
45,231000000.0
46,241000000.0
47,241000000.0
48,231000000.0
49,231000000.0
50,241000000.0
51,241000000.0
52,231000000.0
53,231000000.0
54,241000000.0
55,241000000.0
56,231000000.0
57,231000000.0
58,241000000.0
59,231000000.0
60,241000000.0
