time,bytes
1,3323985.92
2,3323985.92
3,3323985.92
4,3323985.92
5,3323985.92
6,3323985.92
7,3323985.92
8,3323985.92
9,3323985.92
10,3323985.92
11,3323985.92
12,3323985.92
13,3323985.92
14,3323985.92
15,3323985.92
16,3323985.92
17,3323985.92
18,3323985.92
19,3323985.92
20,3323985.92
21,3323985.92
22,3323985.92
23,3323985.92
24,3323985.92
25,3323985.92
26,3323985.92
27,3323985.92
28,3323985.92
29,3323985.92
30,3323985.92
31,3323985.92
32,3323985.92
33,3323985.92
34,3323985.92
35,3323985.92
36,3323985.92
37,3323985.92
38,3323985.92
39,3323985.92
40,3323985.92
41,3323985.92
42,3323985.92
43,3323985.92
44,3323985.92
45,3323985.92
46,3323985.92
47,3323985.92
48,3323985.92
49,3323985.92
50,3323985.92
51,3323985.92
52,3323985.92
53,3323985.92
54,3323985.92
55,3323985.92
56,3323985.92
57,3323985.92
58,3323985.92
59,3323985.92
60,3323985.92
