time,bytes
1,1234803097.6
2,1256277934.08
3,1299227607.04
4,1299227607.04
5,1245540515.84
6,1245540515.84
7,1245540515.84
8,1288490188.8
9,1267015352.32
10,1277752770.56
11,1234803097.6
12,1234803097.6
13,1234803097.6
14,1234803097.6
15,1202590842.88
16,1234803097.6
17,1245540515.84
18,1277752770.56
19,1245540515.84
20,1277752770.56
21,1256277934.08
22,1299227607.04
23,1288490188.8
24,1277752770.56
25,1267015352.32
26,1234803097.6
27,1288490188.8
28,1245540515.84
29,1256277934.08
30,66899148.8
31,30198988.8
32,28835840.0
33,28835840.0
34,28835840.0
35,30198988.8
36,30198988.8
37,27472691.2
38,30198988.8
39,30198988.8
40,28835840.0
41,28835840.0
42,28835840.0
43,30198988.8
44,28835840.0
45,28835840.0
46,30198988.8
47,30198988.8
48,28835840.0
49,28835840.0
50,30198988.8
51,30198988.8
52,28835840.0
53,28835840.0
54,30198988.8
55,30198988.8
56,28835840.0
57,28835840.0
58,30198988.8
59,28835840.0
60,30198988.8
