time,ms
10,1.19
11,2.06
12,2.34
13,1.91
14,1.23
15,2.33
16,2.42
17,2.04
18,2.91
19,2.02
20,2.32
21,1.3
22,1.86
23,3.13
24,1.2
25,1.83
26,2.13
27,1.27
28,2.01
29,1.69
30,1.78
31,101.0
32,101.0
33,102.0
34,102.0
35,102.0
36,102.0
37,102.0
38,103.0
39,102.0
40,102.0
41,102.0
42,102.0
43,102.0
44,102.0
45,102.0
46,102.0
47,102.0
48,102.0
49,102.0
50,102.0
51,102.0
52,102.0
53,102.0
54,102.0
55,102.0
56,102.0
57,102.0
58,102.0
59,102.0
60,102.0
61,101.0
62,102.0
63,102.0
64,102.0
65,102.0
66,101.0
67,102.0
68,102.0
69,101.0
