time,bps
0,1420000000.0
1,1550000000.0
2,1580000000.0
3,1590000000.0
4,1570000000.0
5,1560000000.0
6,1520000000.0
7,1480000000.0
8,1540000000.0
9,1590000000.0
10,1550000000.0
11,1540000000.0
12,1580000000.0
13,1570000000.0
14,1570000000.0
15,1580000000.0
16,1600000000.0
17,1610000000.0
18,1570000000.0
19,1510000000.0
20,1550000000.0
21,1610000000.0
22,1550000000.0
23,1580000000.0
24,1580000000.0
25,1550000000.0
26,1570000000.0
27,1530000000.0
28,1560000000.0
29,199000000.0
30,90000000.0
31,97200000.0
32,100000000.0
33,101000000.0
34,104000000.0
35,106000000.0
36,103000000.0
37,105000000.0
38,105000000.0
39,82300000.0
40,84100000.0
41,89700000.0
42,93100000.0
43,101000000.0
44,98800000.0
45,102000000.0
46,106000000.0
47,83300000.0
48,81800000.0
49,89000000.0
50,94300000.0
51,99600000.0
52,98200000.0
53,103000000.0
54,104000000.0
55,105000000.0
56,85300000.0
57,81300000.0
58,89000000.0
59,95200000.0
59,99700000.0
