time,bytes
0,177209344.0
1,193986560.0
2,197132288.0
3,198180864.0
4,197132288.0
5,195035136.0
6,189792256.0
7,185597952.0
8,192937984.0
9,198180864.0
10,193986560.0
11,191889408.0
12,198180864.0
13,196083712.0
14,196083712.0
15,198180864.0
16,200278016.0
17,201326592.0
18,196083712.0
19,188743680.0
20,193986560.0
21,200278016.0
22,192937984.0
23,197132288.0
24,197132288.0
25,193986560.0
26,196083712.0
27,190840832.0
28,193986560.0
29,24956108.8
30,11219763.2
31,12163481.6
32,12478054.4
33,12687769.6
34,12897484.8
35,13212057.6
36,12897484.8
37,13107200.0
38,13107200.0
39,10286530.56
40,10485760.0
41,11219763.2
42,11639193.6
43,12687769.6
44,12373196.8
45,12792627.2
46,13316915.2
47,10412359.68
48,10223616.0
49,11114905.6
50,11744051.2
51,12478054.4
52,12268339.2
53,12897484.8
54,13002342.4
55,13107200.0
56,10695475.2
57,10171187.2
58,11114905.6
59,11848908.8
59,1279262.72
