time,bytes
5,210654
6,217167840
7,430494648
8,638469906
9,841713666
10,1052753288
11,1269622908
12,1481853248
13,1691914300
14,1908995658
15,2124084020
16,2339365108
17,2556089400
18,2775269828
19,2995437790
20,3209979348
21,3416780492
22,3628901770
23,3847752024
24,4061072984
25,4277229556
26,4493357742
27,4704149360
28,4918683448
29,5129684226
30,5341379714
31,5356475090
32,5369193682
33,5382448620
34,5396341496
35,5409833980
36,5424439494
37,5438834354
38,5453018560
39,5467483638
40,5481808280
41,5492902894
42,5504348598
43,5516777354
44,5529605008
45,5543390358
46,5557293692
47,5571478110
48,5585732534
49,5596897366
50,5608284804
51,5620561172
52,5633692108
53,5647314570
54,5660796596
55,5675352808
56,5689613208
57,5703910958
58,5714865136
59,5726158452
60,5738528942
61,5751647272
62,5751648696
63,5751648866
64,5751649036
