time,bytes
5,828
6,1295200
7,2695252
8,4054690
9,5322358
10,6440880
11,7806146
12,8896930
13,10232664
14,11548182
15,12852728
16,14208196
17,15519882
18,16877006
19,18198112
20,19530534
21,20799062
22,22070764
23,23176866
24,24535784
25,25821010
26,27309648
27,28620680
28,29963176
29,31183680
30,32608010
31,32724482
32,32812076
33,32906500
34,32997750
35,33098246
36,33201640
37,33291234
38,33381656
39,33503542
40,33604038
41,33681350
42,33770254
43,33852534
44,33945026
45,34033972
46,34129500
47,34220686
48,34307244
49,34395182
50,34464076
51,34531728
52,34618700
53,34705810
54,34791816
55,34886378
56,34973764
57,35055354
58,35132114
59,35219500
60,35299020
61,35425826
62,35426686
63,35426856
64,35427026
