time,count
5,6
6,9386
7,19532
8,29383
9,38569
10,46674
11,56567
12,64471
13,74150
14,83683
15,93136
16,102958
17,112461
18,122295
19,131868
20,141523
21,150715
22,159930
23,167945
24,177792
25,187105
26,197892
27,207392
28,217120
29,225964
30,236285
31,237129
32,237764
33,238448
34,239109
35,239837
36,240586
37,241235
38,241890
39,242773
40,243501
41,244061
42,244705
43,245301
44,245971
45,246616
46,247308
47,247969
48,248596
49,249233
50,249732
51,250222
52,250852
53,251483
54,252106
55,252791
56,253424
57,254015
58,254571
59,255204
60,255780
61,256739
62,256745
63,256746
64,256747
