time,bps
0,21400000.0
1,21200000.0
2,23900000.0
3,20500000.0
4,23100000.0
5,23900000.0
6,24700000.0
7,24600000.0
8,20900000.0
9,21100000.0
10,22600000.0
11,22300000.0
12,22500000.0
13,21700000.0
14,21300000.0
15,20900000.0
16,22000000.0
17,23700000.0
18,21600000.0
19,20800000.0
20,22200000.0
21,21800000.0
22,24400000.0
23,21500000.0
24,20900000.0
25,21500000.0
26,20800000.0
27,20900000.0
28,19900000.0
29,21200000.0
30,23100000.0
31,22500000.0
32,20900000.0
33,22400000.0
34,21500000.0
35,22100000.0
36,21300000.0
37,20900000.0
38,21400000.0
39,21300000.0
40,22400000.0
41,21800000.0
42,21100000.0
43,20500000.0
44,21200000.0
45,20700000.0
46,21600000.0
47,20900000.0
48,21200000.0
49,21100000.0
50,22300000.0
51,21300000.0
52,22000000.0
53,22700000.0
54,20300000.0
55,22600000.0
56,21100000.0
57,20600000.0
58,22000000.0
59,22800000.0
59,26600000.0
