time,bytes
0,2673868.8
1,2642411.52
2,2988441.6
3,2558525.44
4,2883584.0
5,2988441.6
6,3093299.2
7,3072327.68
8,2610954.24
9,2631925.76
10,2831155.2
11,2789212.16
12,2820669.44
13,2715811.84
14,2663383.04
15,2610954.24
16,2757754.88
17,2956984.32
18,2694840.32
19,2600468.48
20,2768240.64
21,2726297.6
22,3051356.16
23,2684354.56
24,2610954.24
25,2684354.56
26,2600468.48
27,2621440.0
28,2485125.12
29,2652897.28
30,2894069.76
31,2810183.68
32,2610954.24
33,2799697.92
34,2694840.32
35,2768240.64
36,2673868.8
37,2610954.24
38,2684354.56
39,2663383.04
40,2799697.92
41,2715811.84
42,2631925.76
43,2558525.44
44,2642411.52
45,2579496.96
46,2705326.08
47,2610954.24
48,2642411.52
49,2631925.76
50,2789212.16
51,2663383.04
52,2747269.12
53,2831155.2
54,2537553.92
55,2831155.2
56,2642411.52
57,2569011.2
58,2747269.12
59,2841640.96
59,193536.0
