time,ms
0,82.1
1,2.11
2,2.19
3,2.8
4,2.89
5,2.45
6,56.1
7,147.0
8,145.0
9,120.0
10,169.0
11,98.8
12,120.0
13,144.0
14,145.0
15,129.0
16,122.0
17,121.0
18,150.0
19,145.0
20,152.0
22,211.0
22,108.0
23,116.0
25,175.0
26,194.0
27,208.0
28,191.0
29,229.0
30,182.0
31,230.0
32,220.0
33,211.0
34,224.0
35,237.0
36,150.0
37,185.0
38,201.0
38,142.0
40,203.0
41,194.0
42,195.0
43,188.0
44,160.0
45,201.0
46,205.0
47,211.0
48,203.0
49,197.0
50,199.0
51,206.0
52,213.0
53,195.0
54,195.0
55,166.0
56,221.0
57,182.0
58,219.0
59,226.0
60,211.0
61,233.0
62,198.0
63,217.0
64,190.0
64,127.0
