time,bps
5,47000000.0
6,46900000.0
7,43800000.0
8,43800000.0
9,43800000.0
10,43800000.0
11,43800000.0
12,43800000.0
13,43800000.0
14,46900000.0
15,43800000.0
16,43800000.0
17,43800000.0
18,43800000.0
19,43800000.0
20,46900000.0
21,40700000.0
22,46900000.0
23,43800000.0
24,43800000.0
25,43800000.0
26,43800000.0
27,43800000.0
28,43800000.0
29,46900000.0
30,43800000.0
31,43800000.0
32,43800000.0
33,43800000.0
34,43800000.0
35,43800000.0
36,46900000.0
37,43800000.0
38,43800000.0
39,43800000.0
40,43800000.0
41,43800000.0
42,43800000.0
43,43800000.0
44,46900000.0
45,43800000.0
46,43800000.0
47,43800000.0
48,43800000.0
49,43800000.0
50,43800000.0
51,43800000.0
52,46900000.0
53,43800000.0
54,43800000.0
55,43800000.0
56,44300000.0
57,43800000.0
58,43800000.0
59,43800000.0
60,43800000.0
61,46900000.0
62,40700000.0
63,46900000.0
64,43800000.0
