time,bytes
5,135168.0
6,112640.0
7,146432.0
8,126976.0
9,108544.0
10,142336.0
11,168960.0
12,147456.0
13,133120.0
14,114688.0
15,146432.0
16,126976.0
17,157696.0
18,140288.0
19,125952.0
20,156672.0
21,139264.0
22,122880.0
23,153600.0
24,136192.0
25,117760.0
26,149504.0
27,129024.0
28,159744.0
29,140288.0
30,122880.0
31,153600.0
32,137216.0
33,117760.0
34,147456.0
35,132096.0
36,112640.0
37,144384.0
38,129024.0
39,109568.0
40,143360.0
41,130048.0
42,112640.0
43,144384.0
44,124928.0
45,107520.0
46,140288.0
47,119808.0
48,151552.0
49,132096.0
50,117760.0
51,149504.0
52,135168.0
53,118784.0
54,150528.0
55,135168.0
56,115712.0
57,147456.0
58,129024.0
59,159744.0
60,140288.0
61,121856.0
62,107520.0
63,142336.0
64,95539.2
