time,bytes
5,5882511.36
6,5861539.84
7,5473566.72
8,5473566.72
9,5473566.72
10,5473566.72
11,5473566.72
12,5473566.72
13,5473566.72
14,5861539.84
15,5473566.72
16,5473566.72
17,5473566.72
18,5473566.72
19,5473566.72
20,5861539.84
21,5085593.6
22,5861539.84
23,5473566.72
24,5473566.72
25,5473566.72
26,5473566.72
27,5473566.72
28,5473566.72
29,5861539.84
30,5473566.72
31,5473566.72
32,5473566.72
33,5473566.72
34,5473566.72
35,5473566.72
36,5861539.84
37,5473566.72
38,5473566.72
39,5473566.72
40,5473566.72
41,5473566.72
42,5473566.72
43,5473566.72
44,5861539.84
45,5473566.72
46,5473566.72
47,5473566.72
48,5473566.72
49,5473566.72
50,5473566.72
51,5473566.72
52,5861539.84
53,5473566.72
54,5473566.72
55,5473566.72
56,5536481.28
57,5473566.72
58,5473566.72
59,5473566.72
60,5473566.72
61,5861539.84
62,5085593.6
63,5861539.84
64,5473566.72
