time,bps
0,130000000.0
1,132000000.0
2,133000000.0
3,132000000.0
4,133000000.0
5,133000000.0
6,132000000.0
7,132000000.0
8,133000000.0
9,124000000.0
10,0.0
11,0.0
12,0.0
13,0.0
14,27700000.0
15,85400000.0
16,87400000.0
17,88900000.0
18,88700000.0
19,89200000.0
20,90000000.0
21,90200000.0
22,90600000.0
23,91000000.0
24,90900000.0
25,91300000.0
26,91100000.0
27,91700000.0
28,91300000.0
29,87700000.0
30,0.0
31,0.0
32,0.0
33,28900000.0
34,91200000.0
35,91200000.0
36,91300000.0
37,91500000.0
38,92000000.0
39,91900000.0
40,92100000.0
41,91500000.0
42,91700000.0
43,92200000.0
44,92100000.0
45,92100000.0
46,92000000.0
47,92500000.0
48,92300000.0
49,67100000.0
50,22800000.0
51,92700000.0
52,92300000.0
53,92900000.0
54,93300000.0
55,93100000.0
56,92500000.0
57,92900000.0
58,92700000.0
59,93400000.0
59,90000000.0
