time,bytes
0,33030144.0
1,33239859.2
2,33135001.6
3,32820428.8
4,33344716.8
5,16882073.6
6,16567500.8
7,16567500.8
8,16567500.8
9,16567500.8
10,16567500.8
11,16567500.8
12,16567500.8
13,16567500.8
14,15623782.4
15,0.0
16,0.0
17,0.0
18,0.0
19,4341.76
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
