time,bps
11,142000000.0
12,132000000.0
13,131000000.0
14,136000000.0
15,131000000.0
16,133000000.0
17,133000000.0
18,131000000.0
19,131000000.0
20,122000000.0
21,0.0
22,0.0
23,0.0
24,0.0
25,31300000.0
26,86000000.0
27,86000000.0
28,87100000.0
29,87600000.0
30,90700000.0
31,94400000.0
32,88100000.0
33,91700000.0
34,91200000.0
35,90600000.0
36,89100000.0
37,93300000.0
38,93300000.0
39,91300000.0
40,90700000.0
41,0.0
42,0.0
43,0.0
44,30900000.0
45,91600000.0
46,89800000.0
47,90200000.0
48,97500000.0
49,88100000.0
50,88500000.0
51,99200000.0
52,88500000.0
53,85600000.0
54,102000000.0
55,89800000.0
56,92300000.0
57,94400000.0
58,94400000.0
59,83900000.0
60,73400000.0
61,81000000.0
62,94400000.0
63,94400000.0
64,83900000.0
65,105000000.0
66,83900000.0
67,94400000.0
68,94400000.0
69,83900000.0
70,94400000.0
