time,bytes
10,189440.0
11,144384.0
12,157696.0
13,171008.0
14,181248.0
15,191488.0
16,140288.0
17,154624.0
18,166912.0
19,172032.0
20,1443.84
21,1443.84
22,1443.84
23,1443.84
24,140288.0
25,191488.0
26,231424.0
27,266240.0
28,294912.0
29,324608.0
30,350208.0
31,373760.0
32,396288.0
33,416768.0
34,438272.0
35,457728.0
36,478208.0
37,495616.0
38,513024.0
39,527360.0
40,1443.84
41,1443.84
42,1443.84
43,408576.0
44,465920.0
45,507904.0
46,531456.0
47,547840.0
48,556032.0
49,557056.0
50,557056.0
51,557056.0
52,562176.0
53,572416.0
54,593920.0
55,623616.0
56,678912.0
57,745472.0
58,828416.0
59,622592.0
60,776192.0
61,1352663.04
62,1184890.88
63,1289748.48
64,1394606.08
65,1019904.0
66,1080033.28
67,1132462.08
68,1163919.36
69,1195376.64
